Sample	Status	Cell_state	Cell_type	locus	property	mean	scaled_property
CVID-9-Naive-IGK	CVID	CVID naive	Naive	IGK	hydropathy	-0.6358507	-0.87836999065957
HD-1-Bright-IGK	Healthy	Healthy bright	Bright	IGK	hydropathy	-0.6064519	-0.371080135918286
HD-1-Naive-IGK	Healthy	Healthy naive	Naive	IGK	hydropathy	-0.6194359	-0.595125045028891
HD-3-Bright-IGK	Healthy	Healthy bright	Bright	IGK	hydropathy	-0.52240056	1.07926450601983
HD-3-Naive-IGK	Healthy	Healthy naive	Naive	IGK	hydropathy	-0.5194988	1.1293357133104
HD-4-Bright-IGK	Healthy	Healthy bright	Bright	IGK	hydropathy	-0.62640184	-0.715325552897799
HD-4-Naive-IGK	Healthy	Healthy naive	Naive	IGK	hydropathy	-0.6231246	-0.65877526501012
HD-5-Bright-IGK	Healthy	Healthy bright	Bright	IGK	hydropathy	-0.5948489	-0.170865018819522
HD-5-Naive-IGK	Healthy	Healthy naive	Naive	IGK	hydropathy	-0.59322506	-0.142844910593231
Infected-2-Bright-IGK	Infected	Infected bright	Bright	IGK	hydropathy	-0.5322606	0.909124967693667
Infected-2-Naive-IGK	Infected	Infected naive	Naive	IGK	hydropathy	-0.5679084	0.294005735485333
Infected-3-Bright-IGK	Infected	Infected bright	Bright	IGK	hydropathy	-0.6653957	-1.38818259383831
Infected-3-Naive-IGK	Infected	Infected naive	Naive	IGK	hydropathy	-0.58771884	-0.0478325446472206
Infected-4-Bright-IGK	Infected	Infected bright	Bright	IGK	hydropathy	-0.61091477	-0.448089016349775
Infected-4-Naive-IGK	Infected	Infected naive	Naive	IGK	hydropathy	-0.57762134	0.126404475511769
Infected-5-Bright-IGK	Infected	Infected bright	Bright	IGK	hydropathy	-0.51307744	1.2401392420817
Infected-5-Naive-IGK	Infected	Infected naive	Naive	IGK	hydropathy	-0.4216	2.81862466494605
CVID-2-Bright-IGL	CVID	CVID bright	Bright	IGL	hydropathy	0.4783546	1.56756403110242
CVID-2-Naive-IGL	CVID	CVID naive	Naive	IGL	hydropathy	0.14455536	-1.07819522412784
CVID-4-Bright-IGL	CVID	CVID bright	Bright	IGL	hydropathy	0.41604286	1.07366876994334
CVID-4-Naive-IGL	CVID	CVID naive	Naive	IGL	hydropathy	0.2233285	-0.453823628139339
CVID-5-Bright-IGL	CVID	CVID bright	Bright	IGL	hydropathy	0.34717223	0.527786440384896
CVID-5-Naive-IGL	CVID	CVID naive	Naive	IGL	hydropathy	0.25281054	-0.220143107497445
CVID-6-Bright-IGL	CVID	CVID bright	Bright	IGL	hydropathy	0.24525344	-0.280042187158922
